# Network edges data
# Layout: spring
# N: 28005, m: 2
# h: 0.7, f_a: 0.4
# Initial core size (n0): 5
# Added nodes: 28000
# Generated: 2026-03-19T13:50:06.767823
source,target,source_origin,target_origin,source_type,target_type
364,1,added,initial_core,Type b,Type b
364,173,added,added,Type b,Type b
365,77,added,added,Type b,Type b
365,198,added,added,Type b,Type a
366,210,added,added,Type b,Type a
366,240,added,added,Type b,Type b
367,149,added,added,Type a,Type a
367,28,added,added,Type a,Type a
368,270,added,added,Type b,Type a
368,72,added,added,Type b,Type b
369,306,added,added,Type a,Type a
369,37,added,added,Type a,Type a
370,359,added,added,Type a,Type b
370,332,added,added,Type a,Type b
371,12,added,added,Type b,Type a
371,238,added,added,Type b,Type b
372,86,added,added,Type b,Type b
372,42,added,added,Type b,Type a
373,26,added,added,Type a,Type b
373,55,added,added,Type a,Type a
374,78,added,added,Type a,Type b
374,111,added,added,Type a,Type b
375,24,added,added,Type b,Type a
375,196,added,added,Type b,Type a
376,52,added,added,Type a,Type a
376,329,added,added,Type a,Type a
377,273,added,added,Type b,Type a
377,353,added,added,Type b,Type b
378,281,added,added,Type b,Type b
378,328,added,added,Type b,Type b
379,9,added,added,Type b,Type a
379,103,added,added,Type b,Type a
380,291,added,added,Type a,Type b
380,342,added,added,Type a,Type b
381,101,added,added,Type a,Type a
381,29,added,added,Type a,Type a
382,5,added,added,Type b,Type a
382,55,added,added,Type b,Type a
383,85,added,added,Type a,Type a
383,3,added,initial_core,Type a,Type b
384,328,added,added,Type b,Type b
384,309,added,added,Type b,Type b
385,8,added,added,Type b,Type a
385,266,added,added,Type b,Type a
386,24,added,added,Type b,Type a
386,176,added,added,Type b,Type a
387,54,added,added,Type b,Type b
387,219,added,added,Type b,Type b
388,243,added,added,Type a,Type b
388,146,added,added,Type a,Type b
389,37,added,added,Type b,Type a
389,240,added,added,Type b,Type b
390,103,added,added,Type a,Type a
390,309,added,added,Type a,Type b
391,277,added,added,Type b,Type b
391,163,added,added,Type b,Type b
392,345,added,added,Type b,Type a
392,31,added,added,Type b,Type b
393,170,added,added,Type b,Type b
393,305,added,added,Type b,Type b
394,45,added,added,Type b,Type a
394,326,added,added,Type b,Type a
395,82,added,added,Type a,Type a
395,373,added,added,Type a,Type a
396,54,added,added,Type a,Type b
396,332,added,added,Type a,Type b
397,125,added,added,Type a,Type b
397,40,added,added,Type a,Type b
398,123,added,added,Type b,Type a
398,375,added,added,Type b,Type b
399,390,added,added,Type b,Type a
399,91,added,added,Type b,Type a
400,174,added,added,Type a,Type a
400,151,added,added,Type a,Type b
401,152,added,added,Type b,Type a
401,284,added,added,Type b,Type a
402,298,added,added,Type b,Type a
402,122,added,added,Type b,Type a
403,124,added,added,Type b,Type b
403,266,added,added,Type b,Type a
404,26,added,added,Type b,Type b
404,203,added,added,Type b,Type b
405,16,added,added,Type b,Type b
405,37,added,added,Type b,Type a
406,17,added,added,Type a,Type b
406,252,added,added,Type a,Type b
407,106,added,added,Type b,Type b
