# Network edges data
# Layout: spring
# N: 28004, m: 3
# h: 0.7, f_a: 0.55
# Generated: 2026-04-09T15:34:28.318197
source,target,source_type,target_type
221,2,Type a,Type a
221,194,Type a,Type b
221,31,Type a,Type a
222,16,Type b,Type a
222,23,Type b,Type a
222,57,Type b,Type b
223,1,Type b,Type b
223,103,Type b,Type a
223,81,Type b,Type a
224,47,Type a,Type a
224,0,Type a,Type a
224,122,Type a,Type b
225,97,Type a,Type b
225,20,Type a,Type b
225,123,Type a,Type b
226,1,Type b,Type b
226,173,Type b,Type b
226,10,Type b,Type b
227,1,Type a,Type b
227,17,Type a,Type a
227,46,Type a,Type a
228,17,Type b,Type a
228,101,Type b,Type a
228,88,Type b,Type b
229,2,Type b,Type a
229,98,Type b,Type a
229,30,Type b,Type b
230,18,Type b,Type b
230,63,Type b,Type b
230,0,Type b,Type a
231,1,Type a,Type b
231,42,Type a,Type a
231,54,Type a,Type b
232,32,Type b,Type b
232,55,Type b,Type a
232,11,Type b,Type b
233,150,Type b,Type a
233,23,Type b,Type a
233,195,Type b,Type a
234,41,Type a,Type b
234,20,Type a,Type b
234,133,Type a,Type b
235,12,Type a,Type b
235,196,Type a,Type a
235,0,Type a,Type a
236,151,Type a,Type b
236,218,Type a,Type a
236,62,Type a,Type a
237,146,Type b,Type b
237,20,Type b,Type b
237,112,Type b,Type b
238,31,Type a,Type a
238,0,Type a,Type a
238,158,Type a,Type a
239,1,Type b,Type b
239,88,Type b,Type b
239,3,Type b,Type b
240,8,Type a,Type a
240,119,Type a,Type a
240,129,Type a,Type a
241,236,Type a,Type a
241,83,Type a,Type b
241,3,Type a,Type b
242,159,Type b,Type b
242,145,Type b,Type a
242,65,Type b,Type b
243,32,Type b,Type b
243,43,Type b,Type b
243,5,Type b,Type b
244,3,Type a,Type b
244,132,Type a,Type a
244,13,Type a,Type b
245,2,Type a,Type a
245,207,Type a,Type b
245,145,Type a,Type a
246,119,Type a,Type a
246,3,Type a,Type b
246,20,Type a,Type b
247,29,Type b,Type a
247,89,Type b,Type b
247,58,Type b,Type b
248,125,Type b,Type a
248,8,Type b,Type a
248,207,Type b,Type b
249,103,Type a,Type a
249,88,Type a,Type b
249,136,Type a,Type b
250,28,Type a,Type a
250,177,Type a,Type a
250,5,Type a,Type b
251,212,Type a,Type a
251,72,Type a,Type a
251,228,Type a,Type b
252,238,Type a,Type a
252,85,Type a,Type a
252,197,Type a,Type b
253,17,Type b,Type a
253,3,Type b,Type b
253,80,Type b,Type b
254,156,Type b,Type a
254,101,Type b,Type a
254,21,Type b,Type a
255,230,Type b,Type b
255,16,Type b,Type a
255,10,Type b,Type b
256,5,Type a,Type b
256,1,Type a,Type b
256,32,Type a,Type b
257,2,Type a,Type a
257,116,Type a,Type b
257,146,Type a,Type b
258,15,Type a,Type a
258,0,Type a,Type a
258,2,Type a,Type a
259,1,Type a,Type b
259,29,Type a,Type a
259,3,Type a,Type b
260,207,Type a,Type b
260,72,Type a,Type a
260,132,Type a,Type a
261,29,Type a,Type a
261,4,Type a,Type b
261,115,Type a,Type a
262,64,Type a,Type b
262,166,Type a,Type a
262,168,Type a,Type a
263,72,Type a,Type a
263,193,Type a,Type a
263,11,Type a,Type b
264,3,Type b,Type b
264,129,Type b,Type a
264,65,Type b,Type b
265,3,Type a,Type b
265,85,Type a,Type a
265,1,Type a,Type b
266,21,Type a,Type a
266,0,Type a,Type a
266,116,Type a,Type b
267,46,Type a,Type a
267,57,Type a,Type b
267,118,Type a,Type a
268,55,Type a,Type a
268,133,Type a,Type b
268,177,Type a,Type a
269,144,Type b,Type b
269,177,Type b,Type a
269,49,Type b,Type b
270,189,Type a,Type a
270,74,Type a,Type a
270,1,Type a,Type b
271,207,Type b,Type b
271,264,Type b,Type b
271,10,Type b,Type b
272,82,Type b,Type b
272,3,Type b,Type b
272,91,Type b,Type b
273,75,Type a,Type a
273,168,Type a,Type a
273,174,Type a,Type b
274,109,Type a,Type a
274,84,Type a,Type a
274,22,Type a,Type a
275,50,Type a,Type b
275,3,Type a,Type b
275,66,Type a,Type b
276,47,Type b,Type a
276,1,Type b,Type b
276,18,Type b,Type b
277,172,Type b,Type a
277,257,Type b,Type a
277,31,Type b,Type a
278,8,Type b,Type a
278,261,Type b,Type a
278,24,Type b,Type b
279,197,Type a,Type b
279,13,Type a,Type b
279,73,Type a,Type b
280,72,Type b,Type a
280,3,Type b,Type b
280,1,Type b,Type b
281,32,Type b,Type b
281,16,Type b,Type a
281,50,Type b,Type b
282,65,Type b,Type b
282,0,Type b,Type a
282,1,Type b,Type b
283,253,Type a,Type b
283,79,Type a,Type a
283,1,Type a,Type b
284,73,Type a,Type b
284,47,Type a,Type a
284,256,Type a,Type a
285,107,Type a,Type a
285,0,Type a,Type a
285,2,Type a,Type a
286,48,Type a,Type a
286,13,Type a,Type b
286,2,Type a,Type a
287,35,Type b,Type b
287,2,Type b,Type a
287,79,Type b,Type a
288,278,Type a,Type b
288,2,Type a,Type a
288,193,Type a,Type a
289,29,Type b,Type a
289,156,Type b,Type a
289,221,Type b,Type a
290,288,Type a,Type a
290,9,Type a,Type b
290,45,Type a,Type a
291,191,Type a,Type a
291,1,Type a,Type b
291,269,Type a,Type b
292,18,Type a,Type b
292,276,Type a,Type b
292,50,Type a,Type b
293,269,Type a,Type b
293,0,Type a,Type a
293,16,Type a,Type a
294,47,Type a,Type a
294,207,Type a,Type b
294,144,Type a,Type b
295,16,Type a,Type a
295,2,Type a,Type a
295,46,Type a,Type a
296,2,Type a,Type a
296,295,Type a,Type a
296,22,Type a,Type a
297,222,Type b,Type b
297,16,Type b,Type a
297,35,Type b,Type b
298,7,Type b,Type b
298,1,Type b,Type b
298,23,Type b,Type a
299,8,Type a,Type a
299,123,Type a,Type b
299,7,Type a,Type b
300,24,Type b,Type b
300,158,Type b,Type a
300,2,Type b,Type a
301,58,Type a,Type b
301,4,Type a,Type b
301,145,Type a,Type a
302,271,Type a,Type b
302,17,Type a,Type a
302,250,Type a,Type a
303,18,Type b,Type b
303,34,Type b,Type a
303,48,Type b,Type a
304,1,Type a,Type b
304,146,Type a,Type b
304,63,Type a,Type b
305,239,Type a,Type b
305,24,Type a,Type b
305,8,Type a,Type a
306,207,Type a,Type b
306,160,Type a,Type a
306,0,Type a,Type a
307,43,Type b,Type b
307,35,Type b,Type b
307,242,Type b,Type b
308,17,Type a,Type a
308,146,Type a,Type b
308,125,Type a,Type a
309,77,Type a,Type a
309,148,Type a,Type a
309,39,Type a,Type b
310,24,Type a,Type b
310,20,Type a,Type b
310,39,Type a,Type b
311,128,Type b,Type b
311,76,Type b,Type b
311,16,Type b,Type a
312,286,Type b,Type a
312,262,Type b,Type a
312,143,Type b,Type a
313,16,Type b,Type a
313,259,Type b,Type a
313,236,Type b,Type a
314,20,Type a,Type b
314,136,Type a,Type b
314,11,Type a,Type b
315,36,Type a,Type a
315,150,Type a,Type a
315,38,Type a,Type b
316,158,Type b,Type a
316,109,Type b,Type a
316,185,Type b,Type b
317,76,Type a,Type b
317,11,Type a,Type b
317,278,Type a,Type b
318,7,Type b,Type b
318,54,Type b,Type b
318,264,Type b,Type b
319,14,Type b,Type a
319,1,Type b,Type b
319,121,Type b,Type a
320,46,Type a,Type a
320,39,Type a,Type b
320,3,Type a,Type b
321,29,Type a,Type a
321,0,Type a,Type a
321,8,Type a,Type a
322,37,Type a,Type a
322,0,Type a,Type a
322,3,Type a,Type b
323,131,Type b,Type b
323,23,Type b,Type a
323,290,Type b,Type a
324,139,Type a,Type b
324,40,Type a,Type a
324,17,Type a,Type a
325,24,Type a,Type b
325,265,Type a,Type a
325,121,Type a,Type a
326,13,Type a,Type b
326,12,Type a,Type b
326,250,Type a,Type a
327,234,Type a,Type a
327,19,Type a,Type a
327,68,Type a,Type a
328,137,Type a,Type a
328,1,Type a,Type b
328,302,Type a,Type a
329,212,Type b,Type a
329,222,Type b,Type b
329,266,Type b,Type a
330,48,Type b,Type a
330,323,Type b,Type b
330,8,Type b,Type a
331,2,Type a,Type a
331,64,Type a,Type b
331,10,Type a,Type b
332,9,Type b,Type b
332,2,Type b,Type a
332,207,Type b,Type b
333,2,Type b,Type a
333,23,Type b,Type a
333,253,Type b,Type b
334,279,Type b,Type a
334,264,Type b,Type b
334,187,Type b,Type a
335,51,Type b,Type a
335,164,Type b,Type b
335,13,Type b,Type b
336,140,Type b,Type b
336,175,Type b,Type a
336,152,Type b,Type a
337,97,Type a,Type b
337,22,Type a,Type a
337,32,Type a,Type b
338,230,Type b,Type b
338,0,Type b,Type a
338,66,Type b,Type b
339,70,Type a,Type a
339,262,Type a,Type a
339,305,Type a,Type a
340,329,Type b,Type b
340,92,Type b,Type b
340,8,Type b,Type a
341,29,Type a,Type a
341,237,Type a,Type b
341,67,Type a,Type a
342,190,Type b,Type a
342,16,Type b,Type a
342,155,Type b,Type b
343,2,Type a,Type a
343,19,Type a,Type a
343,23,Type a,Type a
344,56,Type a,Type a
344,125,Type a,Type a
344,321,Type a,Type a
345,2,Type a,Type a
345,236,Type a,Type a
345,191,Type a,Type a
346,310,Type b,Type a
346,329,Type b,Type b
346,105,Type b,Type a
347,87,Type b,Type b
347,209,Type b,Type b
347,115,Type b,Type a
348,57,Type a,Type b
348,120,Type a,Type a
348,7,Type a,Type b
349,3,Type a,Type b
349,13,Type a,Type b
349,154,Type a,Type a
350,237,Type b,Type b
350,2,Type b,Type a
350,307,Type b,Type b
351,140,Type a,Type b
351,177,Type a,Type a
351,271,Type a,Type b
352,14,Type a,Type a
352,2,Type a,Type a
352,140,Type a,Type b
353,290,Type b,Type a
353,8,Type b,Type a
353,47,Type b,Type a
354,10,Type b,Type b
354,2,Type b,Type a
354,55,Type b,Type a
355,104,Type b,Type b
355,68,Type b,Type a
355,12,Type b,Type b
356,269,Type b,Type b
356,207,Type b,Type b
356,80,Type b,Type b
357,141,Type a,Type a
357,97,Type a,Type b
357,311,Type a,Type b
358,47,Type b,Type a
358,2,Type b,Type a
358,145,Type b,Type a
359,297,Type a,Type b
359,1,Type a,Type b
359,175,Type a,Type a
360,13,Type b,Type b
360,352,Type b,Type a
360,3,Type b,Type b
361,154,Type a,Type a
361,10,Type a,Type b
361,262,Type a,Type a
362,211,Type a,Type b
362,220,Type a,Type a
362,49,Type a,Type b
363,220,Type b,Type a
363,293,Type b,Type a
363,5,Type b,Type b
364,110,Type b,Type a
364,2,Type b,Type a
364,352,Type b,Type a
365,238,Type a,Type a
365,347,Type a,Type b
365,16,Type a,Type a
366,13,Type b,Type b
366,1,Type b,Type b
366,218,Type b,Type a
367,57,Type a,Type b
367,1,Type a,Type b
367,32,Type a,Type b
368,256,Type b,Type a
368,3,Type b,Type b
368,341,Type b,Type a
369,16,Type b,Type a
369,3,Type b,Type b
369,7,Type b,Type b
370,226,Type b,Type b
370,250,Type b,Type a
370,12,Type b,Type b
371,8,Type a,Type a
371,0,Type a,Type a
371,337,Type a,Type a
372,120,Type b,Type a
372,2,Type b,Type a
372,14,Type b,Type a
373,74,Type b,Type a
373,337,Type b,Type a
373,97,Type b,Type b
374,10,Type a,Type b
374,2,Type a,Type a
374,14,Type a,Type a
375,17,Type a,Type a
375,197,Type a,Type b
375,1,Type a,Type b
376,144,Type b,Type b
376,125,Type b,Type a
376,3,Type b,Type b
377,16,Type a,Type a
377,181,Type a,Type a
377,35,Type a,Type b
