# Network nodes data
# Layout: spring
# N: 28004, m: 3
# h: 0.7, f_a: 0.55
# Generated: 2026-04-09T15:34:27.863088
node_id,node_type,in_degree,out_degree
757,Type a,4,3
758,Type a,5,3
759,Type a,7,3
760,Type a,31,3
761,Type b,17,3
762,Type b,30,3
763,Type a,52,3
764,Type b,12,3
765,Type a,3,3
766,Type b,17,3
767,Type b,14,3
768,Type a,25,3
769,Type a,5,3
770,Type a,7,3
771,Type b,77,3
772,Type a,12,3
773,Type a,12,3
774,Type b,17,3
775,Type a,6,3
776,Type b,10,3
777,Type a,15,3
778,Type a,1,3
779,Type b,7,3
780,Type b,4,3
781,Type a,24,3
782,Type b,0,3
783,Type b,7,3
784,Type a,29,3
785,Type a,4,3
786,Type a,1,3
787,Type a,5,3
788,Type b,9,3
789,Type b,5,3
790,Type b,20,3
791,Type a,29,3
792,Type b,18,3
793,Type b,17,3
794,Type b,18,3
795,Type a,31,3
796,Type a,17,3
797,Type a,15,3
798,Type b,10,3
799,Type b,17,3
800,Type a,4,3
801,Type a,7,3
802,Type a,9,3
803,Type b,8,3
804,Type a,5,3
805,Type a,31,3
806,Type a,18,3
807,Type b,8,3
808,Type b,20,3
809,Type a,29,3
810,Type b,2,3
811,Type b,2,3
812,Type a,12,3
813,Type b,13,3
814,Type a,4,3
815,Type a,17,3
816,Type a,30,3
817,Type b,6,3
818,Type a,4,3
819,Type b,15,3
820,Type b,5,3
821,Type b,7,3
822,Type b,1,3
823,Type b,18,3
824,Type b,20,3
825,Type a,17,3
826,Type b,28,3
827,Type b,15,3
828,Type a,15,3
829,Type b,4,3
830,Type a,4,3
831,Type b,38,3
832,Type b,20,3
833,Type a,21,3
834,Type a,19,3
835,Type a,13,3
836,Type a,15,3
837,Type a,14,3
838,Type a,19,3
839,Type a,14,3
840,Type b,12,3
841,Type b,17,3
842,Type a,10,3
843,Type b,7,3
844,Type a,2,3
845,Type b,31,3
846,Type a,12,3
847,Type a,16,3
848,Type b,20,3
849,Type a,6,3
850,Type a,17,3
851,Type b,7,3
852,Type a,13,3
853,Type a,15,3
854,Type b,43,3
855,Type b,14,3
856,Type b,23,3
857,Type b,4,3
858,Type a,7,3
859,Type b,10,3
860,Type b,5,3
861,Type a,28,3
862,Type a,10,3
863,Type b,9,3
864,Type b,10,3
865,Type b,10,3
866,Type a,9,3
867,Type a,34,3
868,Type a,3,3
869,Type b,6,3
870,Type a,12,3
871,Type a,23,3
872,Type a,35,3
873,Type b,25,3
874,Type b,11,3
875,Type a,18,3
876,Type a,33,3
877,Type a,10,3
878,Type a,5,3
879,Type a,27,3
880,Type b,6,3
881,Type b,0,3
882,Type a,13,3
883,Type a,15,3
884,Type b,2,3
885,Type b,13,3
886,Type b,7,3
887,Type b,20,3
888,Type a,32,3
889,Type a,2,3
890,Type b,14,3
891,Type a,17,3
892,Type b,15,3
893,Type a,2,3
894,Type b,31,3
895,Type b,5,3
896,Type b,21,3
897,Type a,30,3
898,Type b,17,3
899,Type b,17,3
900,Type a,20,3
901,Type a,14,3
902,Type a,13,3
903,Type b,4,3
904,Type a,14,3
905,Type b,9,3
906,Type b,12,3
907,Type b,14,3
908,Type a,11,3
909,Type b,3,3
910,Type b,47,3
911,Type b,4,3
912,Type a,10,3
913,Type b,13,3
914,Type a,3,3
915,Type b,8,3
916,Type a,8,3
917,Type a,47,3
918,Type a,8,3
919,Type a,7,3
920,Type b,17,3
921,Type a,6,3
922,Type a,14,3
923,Type a,21,3
924,Type a,16,3
925,Type a,2,3
926,Type a,6,3
927,Type a,3,3
928,Type b,29,3
929,Type b,9,3
930,Type b,12,3
931,Type a,34,3
932,Type b,12,3
933,Type a,7,3
934,Type a,20,3
935,Type a,5,3
936,Type b,14,3
937,Type b,16,3
938,Type b,7,3
939,Type b,6,3
940,Type b,24,3
941,Type b,19,3
942,Type a,6,3
943,Type a,12,3
944,Type a,5,3
945,Type a,14,3
946,Type a,8,3
947,Type a,11,3
948,Type b,8,3
949,Type a,2,3
950,Type b,6,3
951,Type a,7,3
952,Type b,7,3
953,Type b,7,3
954,Type a,24,3
955,Type a,7,3
956,Type b,6,3
957,Type a,10,3
958,Type b,22,3
959,Type a,24,3
960,Type a,3,3
961,Type a,23,3
962,Type a,17,3
963,Type a,18,3
964,Type a,13,3
965,Type a,22,3
966,Type b,19,3
967,Type b,3,3
968,Type a,3,3
969,Type a,2,3
970,Type a,28,3
971,Type b,5,3
972,Type b,8,3
973,Type a,14,3
974,Type a,35,3
975,Type a,23,3
976,Type a,13,3
977,Type b,15,3
978,Type a,8,3
979,Type a,0,3
980,Type a,10,3
981,Type b,5,3
982,Type a,15,3
983,Type a,0,3
984,Type a,37,3
985,Type a,9,3
986,Type a,3,3
987,Type a,7,3
988,Type b,7,3
989,Type a,40,3
990,Type a,9,3
991,Type a,0,3
992,Type b,17,3
993,Type a,16,3
994,Type b,0,3
995,Type a,23,3
996,Type a,33,3
997,Type b,2,3
