# Network nodes data
# Layout: spring
# N: 28005, m: 2
# h: 0.7, f_a: 0.4
# Initial core size (n0): 5
# Added nodes: 28000
# Generated: 2026-08-19T11:53:41.537369
node_id,node_origin,node_type,in_degree,out_degree
887,added,Type a,24,2
888,added,Type a,8,2
889,added,Type a,10,2
890,added,Type b,2,2
891,added,Type a,5,2
892,added,Type b,4,2
893,added,Type a,16,2
894,added,Type a,10,2
895,added,Type b,9,2
896,added,Type a,10,2
897,added,Type a,5,2
898,added,Type b,5,2
899,added,Type a,19,2
900,added,Type a,13,2
901,added,Type a,9,2
902,added,Type b,2,2
903,added,Type b,22,2
904,added,Type a,19,2
905,added,Type b,9,2
906,added,Type b,6,2
907,added,Type b,9,2
908,added,Type b,9,2
909,added,Type b,3,2
910,added,Type b,8,2
911,added,Type b,9,2
912,added,Type a,15,2
913,added,Type a,14,2
914,added,Type b,6,2
915,added,Type a,8,2
916,added,Type a,9,2
917,added,Type a,15,2
918,added,Type b,29,2
919,added,Type b,12,2
920,added,Type a,6,2
921,added,Type b,12,2
922,added,Type a,2,2
923,added,Type a,10,2
924,added,Type b,7,2
925,added,Type a,15,2
926,added,Type a,3,2
927,added,Type a,1,2
928,added,Type b,0,2
929,added,Type b,13,2
930,added,Type a,10,2
931,added,Type b,1,2
932,added,Type a,6,2
933,added,Type a,11,2
934,added,Type a,14,2
935,added,Type a,3,2
936,added,Type b,3,2
937,added,Type b,5,2
938,added,Type b,10,2
939,added,Type a,13,2
940,added,Type b,0,2
941,added,Type a,6,2
942,added,Type b,3,2
943,added,Type b,3,2
944,added,Type b,3,2
945,added,Type b,5,2
946,added,Type b,6,2
947,added,Type b,0,2
948,added,Type a,12,2
949,added,Type a,9,2
950,added,Type b,4,2
951,added,Type b,12,2
952,added,Type b,10,2
953,added,Type b,7,2
954,added,Type a,11,2
955,added,Type a,15,2
956,added,Type b,1,2
957,added,Type a,20,2
958,added,Type a,14,2
959,added,Type b,18,2
960,added,Type a,20,2
961,added,Type b,9,2
962,added,Type a,9,2
963,added,Type b,7,2
964,added,Type b,6,2
965,added,Type b,3,2
966,added,Type b,2,2
967,added,Type b,0,2
968,added,Type b,0,2
969,added,Type b,13,2
970,added,Type b,4,2
971,added,Type a,9,2
972,added,Type b,8,2
973,added,Type a,8,2
974,added,Type a,7,2
975,added,Type b,4,2
976,added,Type a,7,2
977,added,Type a,21,2
978,added,Type a,8,2
979,added,Type b,5,2
980,added,Type a,6,2
981,added,Type b,4,2
982,added,Type b,19,2
983,added,Type a,9,2
984,added,Type b,4,2
985,added,Type a,10,2
986,added,Type a,11,2
987,added,Type b,6,2
988,added,Type b,12,2
989,added,Type b,2,2
990,added,Type b,4,2
991,added,Type b,4,2
992,added,Type a,2,2
993,added,Type b,5,2
994,added,Type b,13,2
995,added,Type b,7,2
996,added,Type a,17,2
997,added,Type b,2,2
998,added,Type b,0,2
999,added,Type b,15,2
1000,added,Type b,3,2
1001,added,Type a,21,2
1002,added,Type a,23,2
1003,added,Type a,15,2
1004,added,Type a,14,2
1005,added,Type b,9,2
1006,added,Type b,6,2
1007,added,Type b,13,2
1008,added,Type a,13,2
1009,added,Type a,15,2
1010,added,Type b,1,2
1011,added,Type b,6,2
1012,added,Type b,4,2
1013,added,Type a,14,2
1014,added,Type b,1,2
1015,added,Type a,15,2
1016,added,Type a,7,2
1017,added,Type b,4,2
1018,added,Type b,7,2
1019,added,Type b,1,2
1020,added,Type b,1,2
1021,added,Type b,12,2
1022,added,Type a,21,2
1023,added,Type a,8,2
1024,added,Type a,6,2
1025,added,Type b,1,2
1026,added,Type a,1,2
1027,added,Type b,8,2
1028,added,Type a,27,2
1029,added,Type b,18,2
1030,added,Type a,8,2
1031,added,Type a,10,2
1032,added,Type b,16,2
1033,added,Type a,12,2
1034,added,Type a,13,2
1035,added,Type a,23,2
1036,added,Type b,3,2
1037,added,Type b,8,2
1038,added,Type b,7,2
1039,added,Type a,7,2
1040,added,Type b,1,2
1041,added,Type a,1,2
1042,added,Type a,18,2
1043,added,Type b,4,2
1044,added,Type b,8,2
1045,added,Type b,4,2
1046,added,Type a,15,2
1047,added,Type a,20,2
1048,added,Type b,4,2
1049,added,Type b,4,2
1050,added,Type a,18,2
1051,added,Type a,14,2
1052,added,Type a,6,2
1053,added,Type b,7,2
1054,added,Type b,9,2
1055,added,Type b,7,2
1056,added,Type b,0,2
1057,added,Type b,20,2
1058,added,Type b,2,2
1059,added,Type a,5,2
1060,added,Type a,9,2
1061,added,Type b,10,2
1062,added,Type b,4,2
1063,added,Type b,13,2
1064,added,Type b,1,2
1065,added,Type a,13,2
1066,added,Type b,0,2
1067,added,Type b,0,2
1068,added,Type b,8,2
1069,added,Type b,12,2
1070,added,Type b,4,2
1071,added,Type b,0,2
1072,added,Type b,9,2
1073,added,Type a,10,2
1074,added,Type b,5,2
1075,added,Type b,5,2
1076,added,Type a,1,2
1077,added,Type a,6,2
1078,added,Type b,3,2
1079,added,Type a,9,2
1080,added,Type b,1,2
1081,added,Type b,6,2
1082,added,Type a,9,2
1083,added,Type a,11,2
1084,added,Type a,5,2
1085,added,Type a,6,2
1086,added,Type a,11,2
1087,added,Type b,4,2
1088,added,Type a,3,2
1089,added,Type b,5,2
1090,added,Type b,2,2
1091,added,Type a,13,2
1092,added,Type b,6,2
1093,added,Type a,1,2
1094,added,Type a,25,2
1095,added,Type b,5,2
1096,added,Type b,10,2
1097,added,Type a,8,2
1098,added,Type b,9,2
1099,added,Type b,13,2
1100,added,Type a,14,2
1101,added,Type a,12,2
1102,added,Type b,4,2
1103,added,Type a,19,2
1104,added,Type b,8,2
1105,added,Type b,4,2
1106,added,Type a,8,2
1107,added,Type a,13,2
