# Network edges data
# Layout: spring
# N: 1005, m: 2
# h: 0.7, f_a: 0.6
# Initial core size (n0): 5
# Added nodes: 1000
# Generated: 2026-03-13T16:19:24.844865
source,target,source_origin,target_origin,source_type,target_type
336,222,added,added,Type a,Type b
336,317,added,added,Type a,Type a
337,181,added,added,Type a,Type b
337,137,added,added,Type a,Type a
338,50,added,added,Type a,Type a
338,85,added,added,Type a,Type a
339,295,added,added,Type a,Type a
339,7,added,added,Type a,Type a
340,167,added,added,Type a,Type a
340,75,added,added,Type a,Type a
341,121,added,added,Type b,Type a
341,172,added,added,Type b,Type b
342,166,added,added,Type a,Type b
342,37,added,added,Type a,Type a
343,43,added,added,Type b,Type a
343,231,added,added,Type b,Type b
344,133,added,added,Type b,Type a
344,26,added,added,Type b,Type a
345,45,added,added,Type a,Type a
345,12,added,added,Type a,Type a
346,127,added,added,Type a,Type b
346,71,added,added,Type a,Type a
347,131,added,added,Type a,Type b
347,118,added,added,Type a,Type b
348,5,added,added,Type a,Type a
348,78,added,added,Type a,Type a
349,5,added,added,Type a,Type a
349,22,added,added,Type a,Type a
350,331,added,added,Type b,Type b
350,277,added,added,Type b,Type b
351,182,added,added,Type a,Type a
351,5,added,added,Type a,Type a
352,167,added,added,Type a,Type a
352,32,added,added,Type a,Type b
353,218,added,added,Type b,Type a
353,28,added,added,Type b,Type a
354,132,added,added,Type a,Type b
354,21,added,added,Type a,Type b
355,108,added,added,Type b,Type a
355,265,added,added,Type b,Type a
356,71,added,added,Type a,Type a
356,260,added,added,Type a,Type a
357,246,added,added,Type b,Type b
357,3,added,initial_core,Type b,Type b
358,121,added,added,Type a,Type a
358,102,added,added,Type a,Type a
359,208,added,added,Type a,Type b
359,193,added,added,Type a,Type b
360,9,added,added,Type a,Type a
360,11,added,added,Type a,Type b
361,105,added,added,Type a,Type a
361,174,added,added,Type a,Type a
362,100,added,added,Type b,Type a
362,63,added,added,Type b,Type b
363,107,added,added,Type b,Type b
363,119,added,added,Type b,Type b
364,347,added,added,Type a,Type a
364,1,added,initial_core,Type a,Type b
365,180,added,added,Type b,Type a
365,59,added,added,Type b,Type a
366,337,added,added,Type b,Type a
366,193,added,added,Type b,Type b
367,20,added,added,Type b,Type b
367,129,added,added,Type b,Type a
368,147,added,added,Type a,Type a
368,263,added,added,Type a,Type a
