# Network nodes data
# Layout: spring
# N: 500004, m: 3
# h: 0.8, f_a: 0.1
# Generated: 2026-04-09T16:39:47.109221
node_id,node_type,in_degree,out_degree
1019,Type b,36,3
1020,Type b,57,3
1021,Type b,39,3
1022,Type b,41,3
1023,Type b,62,3
1024,Type b,38,3
1025,Type b,33,3
1026,Type b,19,3
1027,Type b,47,3
1028,Type b,49,3
1029,Type b,34,3
1030,Type b,51,3
1031,Type a,6,3
1032,Type b,92,3
1033,Type b,32,3
1034,Type b,49,3
1035,Type b,53,3
1036,Type b,35,3
1037,Type b,33,3
1038,Type b,35,3
1039,Type b,31,3
1040,Type b,20,3
1041,Type b,49,3
1042,Type b,61,3
1043,Type b,63,3
1044,Type b,59,3
1045,Type b,8,3
1046,Type b,24,3
1047,Type b,85,3
1048,Type b,38,3
1049,Type b,25,3
1050,Type b,59,3
1051,Type a,6,3
1052,Type b,60,3
1053,Type b,18,3
1054,Type b,60,3
1055,Type b,55,3
1056,Type b,35,3
1057,Type b,36,3
1058,Type b,28,3
1059,Type a,2,3
1060,Type b,30,3
1061,Type b,54,3
1062,Type a,14,3
1063,Type b,34,3
1064,Type b,23,3
1065,Type b,44,3
1066,Type b,48,3
1067,Type b,42,3
1068,Type b,31,3
1069,Type b,45,3
1070,Type b,35,3
1071,Type b,15,3
1072,Type b,37,3
1073,Type b,23,3
1074,Type b,45,3
1075,Type b,52,3
1076,Type b,58,3
1077,Type b,46,3
1078,Type b,42,3
1079,Type b,69,3
1080,Type b,31,3
1081,Type b,41,3
1082,Type b,50,3
1083,Type b,52,3
1084,Type b,38,3
1085,Type b,38,3
1086,Type b,55,3
1087,Type b,22,3
1088,Type b,40,3
1089,Type b,37,3
1090,Type b,43,3
1091,Type b,14,3
1092,Type b,64,3
1093,Type b,38,3
1094,Type b,43,3
1095,Type b,79,3
1096,Type b,7,3
1097,Type b,47,3
1098,Type b,26,3
1099,Type b,34,3
1100,Type b,59,3
1101,Type b,49,3
1102,Type b,60,3
1103,Type b,45,3
1104,Type b,56,3
1105,Type b,34,3
1106,Type b,40,3
1107,Type b,29,3
1108,Type b,32,3
1109,Type b,51,3
1110,Type b,64,3
1111,Type b,52,3
1112,Type b,43,3
1113,Type b,22,3
1114,Type b,36,3
1115,Type b,28,3
